player_id,position,team,name,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,b_gnd_into_dp,b_hit_by_pitch,b_out_fly,b_out_ground,b_out_line_drive,b_out_popup,b_reached_on_error
457705,['RF'],Pirates,"McCutchen, Andrew",2024,37,448,515,104,65,18,1,20,133,58,9,7,66,97,24,26,6
457759,"['1B', '3B']",Mariners,"Turner, Justin",2024,39,460,539,119,84,24,0,11,95,59,16,13,90,94,42,24,1
467793,['1B'],Twins,"Santana, Carlos",2024,38,521,594,124,75,26,0,23,99,65,11,6,94,124,35,47,2
502671,['1B'],Cardinals,"Goldschmidt, Paul",2024,36,599,654,147,91,33,1,22,173,47,20,2,74,140,42,24,10
514888,['2B'],Astros,"Altuve, Jose",2024,34,628,682,185,134,31,0,20,119,47,15,7,89,153,56,26,3
518692,['1B'],Dodgers,"Freeman, Freddie",2024,34,542,638,153,94,35,2,22,100,78,13,10,103,139,41,12,2
521692,['1B'],Royals,"Perez, Salvador",2024,34,590,652,160,105,28,0,27,129,44,17,11,116,117,37,35,3
543760,['2B'],Rangers,"Semien, Marcus",2024,33,650,718,154,102,27,2,23,105,64,9,3,132,161,57,42,5
547180,['1B'],Phillies,"Harper, Bryce",2024,31,550,631,157,85,42,0,30,138,76,18,2,87,114,38,17,3
553993,['3B'],D-backs,"Suárez, Eugenio",2024,32,571,640,146,86,28,2,30,176,49,10,9,89,101,37,28,3
571448,['3B'],Cardinals,"Arenado, Nolan",2024,33,578,635,157,118,23,0,16,92,44,15,5,90,141,56,46,3
572233,['1B'],D-backs,"Walker, Christian",2024,33,479,552,120,68,26,0,26,133,55,12,10,80,94,32,26,0
592206,['RF'],Phillies,"Castellanos, Nick",2024,32,606,659,154,97,30,4,23,139,41,14,10,104,141,52,18,5
592450,"['RF', 'CF', 'LF']",Yankees,"Judge, Aaron",2024,32,559,704,180,85,36,1,58,171,133,22,9,83,82,28,16,5
592518,['3B'],Padres,"Machado, Manny",2024,31,593,643,163,104,30,0,29,124,45,25,1,76,150,42,38,3
595777,"['1B', 'LF']",Padres,"Profar, Jurickson",2024,31,564,668,158,105,29,0,24,101,76,14,18,90,155,33,36,3
596019,['SS'],Mets,"Lindor, Francisco",2024,30,618,689,169,96,39,1,33,127,56,7,12,116,130,40,37,4
605137,['1B'],D-backs,"Bell, Josh",2024,31,538,603,134,90,23,2,19,120,51,22,6,71,163,28,24,4
605141,"['SS', 'RF', '2B']",Dodgers,"Betts, Mookie",2024,31,450,516,130,82,24,5,19,57,61,10,1,108,81,42,34,1
606115,['SS'],Braves,"Arcia, Orlando",2024,29,551,602,120,79,24,0,17,128,41,16,2,71,163,36,37,5
606192,"['RF', 'LF']",Dodgers,"Hernández, Teoscar",2024,31,589,652,160,93,32,2,33,188,53,7,8,62,127,33,18,7
606466,['2B'],D-backs,"Marte, Ketel",2024,30,504,583,147,86,23,2,36,106,65,9,5,66,146,27,19,4
607043,"['CF', 'LF']",Mets,"Nimmo, Brandon",2024,31,571,663,128,77,25,3,23,158,77,7,12,86,138,41,21,5
607208,['SS'],Phillies,"Turner, Trea",2024,31,505,539,149,103,25,0,21,98,27,10,6,77,127,34,21,5
608070,['3B'],Guardians,"Ramírez, José",2024,31,620,682,173,93,39,2,39,82,54,9,1,124,138,43,64,3
608324,['3B'],Astros,"Bregman, Alex",2024,30,581,634,151,93,30,2,26,86,44,13,5,107,136,48,55,3
